"Year","Anglian","Argyll","Clyde","Dee","Forth","Humber","NeaghBann","NorthEastScotland","NorthEasternIreland","NorthHighland","NorthWestEngland","NorthWesternIreland","Northumbria","OrkneyandShetlands","Severn","Solway","SouthEastEngland","SouthWestEngland","Tay","Thames","Tweed","WestHighland","WesternWales"
1927,29.3754033403683,39.6333725591802,34.9519909694126,26.5239923092503,40.4762731844996,22.5658708282217,33.3744156081244,56.4728637068695,32.6543565785357,25.2789193470233,31.2917457371828,23.1756063988324,38.3011525064846,28.7390712218278,31.3703977656314,43.3942986496381,46.6598800494043,35.2843253018474,47.4190127858581,38.3133233798733,52.4738973623281,25.9696241766236,39.3808499018769
1928,17.8467157227166,37.6519707981393,29.7859751192684,27.1155817876757,29.1962677938496,19.7853274012783,25.3247775943942,32.2976148749017,23.0789814344584,29.3668930707378,31.8509621754117,35.7513085991873,44.3858639774493,41.1111990411389,20.5612497331218,37.6678943990896,31.2204860522587,24.9793642188661,36.6584698858601,21.7198251864855,33.5539906615204,28.7127856324038,38.2766642464853
1929,16.847390996927,30.9114138742412,29.3667088724144,33.6464814546101,30.6022793008871,22.2302029283149,35.2650240109899,40.926379839292,25.1955914790666,25.9770123003459,34.1931008323618,38.7110368337717,30.0889909569857,18.8062423791372,43.7389072435454,30.8721173809654,26.4200126931107,54.4593225419441,30.5952049950814,21.969839421201,30.3903789126128,26.0999066303263,48.6707371108372
1930,15.7437447117247,36.9555529890859,40.2418584701813,32.6725394590512,43.0414110993511,32.0832907529164,27.3006927553088,30.5894847761039,33.3804638406145,30.4194750675041,27.3210474880612,28.8582813037424,33.5727777936423,22.7655828106871,26.9749477955647,37.8135969844653,22.8164016206807,31.0889344376601,41.7528678704899,16.6640941754893,27.2635935683975,27.4425574480206,32.8131721943179
1931,26.1827370888941,37.4270394445292,33.8475458629551,53.0723826880539,40.4458004721527,27.8186082742585,26.3888594892542,39.6376289052375,35.0220587307953,44.774009755437,46.2218535048207,26.9930489704305,21.6234949926524,28.2536870704645,43.8257590392233,46.1097918794955,23.6337898778016,44.318842682019,50.6918593446395,19.5490372424396,41.0310733319082,34.0375142219215,66.4363062077162
1932,13.3756596624971,41.3483963117649,47.3904415333788,28.3162230545888,30.9052898230897,41.281433065635,22.781709362027,27.186046182006,23.4413722362395,56.9183827940907,23.6838052662413,28.9183600292799,21.7802816638877,38.8561559212163,29.0724214744827,33.9754392376661,27.3046476273534,37.4050835259944,27.2225095892987,20.6480748812047,34.484536688256,47.0738782611279,37.9685859773086
1933,12.0119880131789,46.0230144543608,41.0573248975678,30.6885318811613,39.4021958374025,35.1564079893885,28.4039207330015,22.7498114986074,31.2442558286672,23.9385762556224,24.0684425965885,31.103005899868,25.5690560473748,19.7123572348569,42.1386200596004,45.1251013717765,29.8519378576059,26.862060698575,31.5009020340582,19.1598119665102,30.0346054633104,45.7041433556568,44.6564890827408
1934,15.9440884256472,36.9827913673778,27.4331378744049,20.5613479968128,24.6363425698183,18.6766019333179,29.598146406035,33.4274120470172,31.0823782391832,33.8689651156064,22.9886736006732,33.3930000362333,26.4625381283458,28.3713330568749,21.6475886034675,26.8719097386396,29.0800198183756,26.2167977633681,30.6580788109785,19.9968129320108,27.7954362827598,27.4934277499901,31.3323906507337
1935,21.5289131427605,39.5323431430315,31.2934008935712,32.0288117474683,27.8331397412649,30.028091767214,27.0795795371582,35.7710048801764,24.1263213765494,30.0720117914971,31.3920290327602,40.6194338823464,30.6478225312338,76.0538500711947,26.8078568828874,25.1593389557814,29.1238851953396,28.8161087156514,38.6682093577031,21.2009410801993,28.6294877384771,43.212396191229,34.5594804538557
1936,15.5146837011153,37.9177557164143,38.3754435699378,22.240547949421,30.3588724677239,15.6213188750453,31.4939662876643,23.6552161783427,34.7959807008358,31.2653018116184,22.1210162968712,24.6298588907192,25.621059587179,23.5664917779774,18.4554699858343,36.8390647358533,27.1546450500747,22.1052491409767,26.7834247170126,20.4678607202795,26.3508030433078,46.629910485093,23.3360211800249
